,0
sqft_living,139229.78
per_bchlr,66867.49
per_prfsnl,45140.754
hous_val_amt,37970.78
sqft_lot,13919.919
sqft_above,13848.936
bathrooms,8432.052
medn_hshld_incm_amt,7445.1934
bedrooms,6178.2354
non_farm_qty,4489.4697
edctn_assoc_dgre_qty,2738.404
medn_incm_per_prsn_amt,2726.128
edctn_high_schl_qty,2689.6147
edctn_prfsnl_qty,2568.949
edctn_some_clg_qty,2155.732
edctn_less_than_9_qty,1947.8281
per_hsd,1733.9196
per_some_clg,1682.829
ppltn_qty,1674.864
edctn_9_12_qty,1590.094
per_less_than_9,1472.3335
floors,1414.1133
sqft_basement,1293.5409
edctn_bchlr_dgre_qty,680.3213
per_9_to_12,659.1601
farm_ppltn_qty,457.4669
urbn_ppltn_qty,288.94855
per_assoc,91.12002
per_urbn,29.61356
sbrbn_ppltn_qty,4.891807
per_sbrbn,0.0
per_farm,0.0
per_non_farm,0.0
